2026-07-08T20:50:51.208Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=92955 ack_latency_ms=- data_freshness_ms=92955 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:51.270Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=92955 threshold_ms=15000
2026-07-08T20:50:51.270Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:51.273Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:51.273Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:51.274Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=250 load_duration_ms=220 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=220 memory_rss_mb=28.66
2026-07-08T20:50:52.338Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:52.612Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=94338 ack_latency_ms=- data_freshness_ms=94338 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:52.674Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=94338 threshold_ms=15000
2026-07-08T20:50:52.674Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:52.677Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:52.677Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:52.678Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=270 load_duration_ms=241 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=241 memory_rss_mb=28.66
2026-07-08T20:50:53.833Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:54.010Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=95832 ack_latency_ms=- data_freshness_ms=95832 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:54.071Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=95832 threshold_ms=15000
2026-07-08T20:50:54.072Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:54.075Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:54.075Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:54.075Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=174 load_duration_ms=134 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=134 memory_rss_mb=28.66
2026-07-08T20:50:55.140Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:55.314Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=97140 ack_latency_ms=- data_freshness_ms=97140 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:55.375Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=97140 threshold_ms=15000
2026-07-08T20:50:55.376Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:55.379Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:55.379Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:55.379Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=171 load_duration_ms=142 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=142 memory_rss_mb=28.67
2026-07-08T20:50:56.443Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:56.607Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=98443 ack_latency_ms=- data_freshness_ms=98443 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:56.668Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=98443 threshold_ms=15000
2026-07-08T20:50:56.668Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:56.670Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:56.670Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
