2026-07-08T20:51:28.927Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=71689 ack_latency_ms=- data_freshness_ms=71689 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:30.216Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=73046 ack_latency_ms=- data_freshness_ms=73046 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:31.515Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=74346 ack_latency_ms=- data_freshness_ms=74346 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:32.894Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=75639 ack_latency_ms=- data_freshness_ms=75639 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:34.241Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=77094 ack_latency_ms=- data_freshness_ms=77094 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:35.542Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=78369 ack_latency_ms=- data_freshness_ms=78369 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:36.897Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=79664 ack_latency_ms=- data_freshness_ms=79664 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:38.187Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=81012 ack_latency_ms=- data_freshness_ms=81012 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:39.567Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=82302 ack_latency_ms=- data_freshness_ms=82302 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:40.857Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=83682 ack_latency_ms=- data_freshness_ms=83682 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:42.138Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=84981 ack_latency_ms=- data_freshness_ms=84981 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:43.515Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=86278 ack_latency_ms=- data_freshness_ms=86278 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:44.883Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=87634 ack_latency_ms=- data_freshness_ms=87634 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:46.281Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=89018 ack_latency_ms=- data_freshness_ms=89018 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:47.582Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=90411 ack_latency_ms=- data_freshness_ms=90411 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:48.988Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=91769 ack_latency_ms=- data_freshness_ms=91769 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:50.301Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=93116 ack_latency_ms=- data_freshness_ms=93116 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:51.678Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=94423 ack_latency_ms=- data_freshness_ms=94423 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:52.960Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=95810 ack_latency_ms=- data_freshness_ms=95810 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:54.240Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=97076 ack_latency_ms=- data_freshness_ms=97076 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:55.611Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=98369 ack_latency_ms=- data_freshness_ms=98369 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:56.982Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=99739 ack_latency_ms=- data_freshness_ms=99739 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:58.271Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=101113 ack_latency_ms=- data_freshness_ms=101113 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:59.656Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=102404 ack_latency_ms=- data_freshness_ms=102404 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:01.051Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=103786 ack_latency_ms=- data_freshness_ms=103786 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:02.339Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=105172 ack_latency_ms=- data_freshness_ms=105172 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:03.721Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=106470 ack_latency_ms=- data_freshness_ms=106470 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:05.077Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=107933 ack_latency_ms=- data_freshness_ms=107933 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:06.479Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=109228 ack_latency_ms=- data_freshness_ms=109228 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:07.861Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=110610 ack_latency_ms=- data_freshness_ms=110610 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:09.154Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=112000 ack_latency_ms=- data_freshness_ms=112000 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:10.522Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=113284 ack_latency_ms=- data_freshness_ms=113284 error_count=1 error_rate_per_min=1.00
2026-07-08T20:52:11.820Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=114648 ack_latency_ms=- data_freshness_ms=114648 error_count=1 error_rate_per_min=1.00
